"","tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"1","N10156",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"2","N102UW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"3","N103US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"4","N104UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"5","N10575",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"6","N105UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"7","N107US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"8","N108UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"9","N109UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"10","N110UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"11","N11106",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"12","N11107",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"13","N11109",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"14","N11113",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"15","N11119",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"16","N11121",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"17","N11127",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"18","N11137",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"19","N11140",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"20","N11150",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"21","N11155",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"22","N11164",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"23","N11165",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"24","N11176",2004,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"25","N11181",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"26","N11184",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"27","N11187",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"28","N11189",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"29","N11191",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"30","N11192",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"31","N11193",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"32","N11194",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"33","N11199",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"34","N111US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"35","N11206",2000,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"36","N112US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
"37","N113UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,"NA","Turbo-fan"
